,time_stamp,real_time,x_position,y_position,probability,person_id
0,1659518699.2585073,2022 18:24:59,470.1255798339844,509.4942855834961,0.3578615188598633,1
1,1659518700.4190605,2022 18:25:00,472.94944763183594,514.6551704406738,0.3663262128829956,1
2,1659518701.5071785,2022 18:25:01,459.8927307128906,508.46534729003906,0.36842405796051025,1
3,1659518702.8338187,2022 18:25:02,440.7123565673828,509.15136337280273,0.3502669930458069,1
4,1659518703.8034086,2022 18:25:03,432.37796783447266,503.9582061767578,0.33615413308143616,1
5,1659518704.4159546,2022 18:25:04,433.2101058959961,498.7110900878906,0.3247540295124054,1
6,1659518705.0253146,2022 18:25:05,439.57557678222656,491.50617599487305,0.31046247482299805,1
7,1659518705.6152978,2022 18:25:05,440.4161834716797,493.96596908569336,0.29989469051361084,1
8,1659518706.3525915,2022 18:25:06,441.7222595214844,495.4486656188965,0.28956976532936096,1
9,1659518706.908405,2022 18:25:06,426.02073669433594,505.1686477661133,0.28824320435523987,1
10,1659518707.4852564,2022 18:25:07,400.17112731933594,536.8218612670898,0.3111373782157898,1
11,1659518708.267741,2022 18:25:08,399.0825653076172,473.8204765319824,0.37207484245300293,1
12,1659518708.8870218,2022 18:25:08,392.4405288696289,466.47242546081543,0.4312645494937897,1
13,1659518709.4820392,2022 18:25:09,367.36461639404297,440.1756763458252,0.47826457023620605,1
14,1659518710.0629046,2022 18:25:10,347.01488494873047,438.00487518310547,0.5192447304725647,1
15,1659518710.6560667,2022 18:25:10,332.81742095947266,426.8749809265137,0.5495067834854126,1
16,1659518711.2723062,2022 18:25:11,335.90858459472656,421.6791343688965,0.5821682810783386,1
17,1659518711.876075,2022 18:25:11,333.3265686035156,397.54740715026855,0.585239827632904,1
18,1659518712.4960241,2022 18:25:12,329.8604965209961,396.7899799346924,0.614168107509613,1
19,1659518713.133246,2022 18:25:13,327.88524627685547,391.14272117614746,0.6450265645980835,1
20,1659518713.775452,2022 18:25:13,303.11838150024414,368.2693576812744,0.6540128588676453,1
21,1659518714.3803349,2022 18:25:14,304.8036766052246,368.8546371459961,0.6637044548988342,1
22,1659518714.959723,2022 18:25:14,293.547306060791,360.8822822570801,0.6922582387924194,1
23,1659518715.5260484,2022 18:25:15,240.6822967529297,347.4619674682617,0.7075530290603638,1
24,1659518716.136553,2022 18:25:16,242.5263786315918,347.56688117980957,0.7080522179603577,1
25,1659518716.7435598,2022 18:25:16,235.5443000793457,338.4494876861572,0.7069352269172668,1
26,1659518717.3745682,2022 18:25:17,236.2310791015625,347.8549575805664,0.7234553694725037,1
27,1659518717.984732,2022 18:25:17,228.5031509399414,341.6721439361572,0.7217080593109131,1
28,1659518718.548209,2022 18:25:18,247.7242660522461,323.6026096343994,0.7154655456542969,1
29,1659518719.135024,2022 18:25:19,266.285400390625,311.1961841583252,0.679132342338562,1
30,1659518719.70703,2022 18:25:19,293.740177154541,319.4043159484863,0.6635170578956604,1
31,1659518720.2684762,2022 18:25:20,296.9712829589844,299.7238826751709,0.6596366167068481,1
32,1659518720.8555634,2022 18:25:20,331.61998748779297,318.74070167541504,0.6350743770599365,1
33,1659518721.4826095,2022 18:25:21,350.37166595458984,323.5916805267334,0.5923680663108826,1
34,1659518722.0539892,2022 18:25:22,385.87779998779297,322.62943267822266,0.6044396162033081,1
35,1659518722.6918526,2022 18:25:22,411.1500549316406,324.0640354156494,0.6371787786483765,1
36,1659518723.2583857,2022 18:25:23,408.0292510986328,325.37421226501465,0.670433521270752,1
37,1659518723.843995,2022 18:25:23,408.5456085205078,326.8275833129883,0.6989706754684448,1
38,1659518724.4553406,2022 18:25:24,399.1701889038086,337.63049125671387,0.7256038784980774,1
39,1659518725.0498555,2022 18:25:25,401.65306091308594,340.7344150543213,0.7518143057823181,1
40,1659518725.6214767,2022 18:25:25,396.85420989990234,340.61150550842285,0.7761570811271667,1
41,1659518726.1689644,2022 18:25:26,336.551513671875,344.1759967803955,0.797622799873352,1
42,1659518726.7594647,2022 18:25:26,331.60743713378906,344.6216297149658,0.8168044686317444,1
43,1659518727.3242748,2022 18:25:27,330.5158233642578,346.1165142059326,0.8349446654319763,1
44,1659518727.889039,2022 18:25:27,267.54831314086914,351.69081687927246,0.8511471152305603,1
45,1659518728.4638867,2022 18:25:28,266.1745834350586,352.9412269592285,0.8626213669776917,1
46,1659518729.0775557,2022 18:25:29,269.00257110595703,350.73866844177246,0.8745161294937134,1
47,1659518729.678222,2022 18:25:29,298.92955780029297,349.0601634979248,0.8868003487586975,1
48,1659518730.247231,2022 18:25:30,312.73120880126953,348.7453079223633,0.8961732387542725,1
49,1659518730.8799376,2022 18:25:30,321.00379943847656,347.82843589782715,0.9039437174797058,1
50,1659518731.4618294,2022 18:25:31,375.36617279052734,346.733922958374,0.9133204221725464,1
51,1659518732.055391,2022 18:25:32,375.9661102294922,345.14634132385254,0.9210679531097412,1
52,1659518732.6561568,2022 18:25:32,380.24192810058594,343.1793022155762,0.9257590770721436,1
